X,Y,Function,Counts,Total_Time,Time_per_count
1000,85,GS_PRE_CON,21,1.619700000e-02,7.712857143e-04
1000,85,PCG,1,2.565200000e-02,2.565200000e-02
1000,102,GRID_C_R,9,4.243000000e-03,4.714444444e-04
1000,102,FILL_FUNC,2,5.447000000e-03,2.723500000e-03
1000,102,RAND,2,1.010900000e-02,5.054500000e-03
1000,102,AXPBY,128,3.618800000e-02,2.827187500e-04
1000,102,DOT_PRODUCT,109,1.754500000e-02,1.609633028e-04
1000,102,APPLY_STENCIL,45,1.540300000e-02,3.422888889e-04
1000,102,GRID,2,1.070000000e-03,5.350000000e-04
1000,102,CG,1,3.220100000e-02,3.220100000e-02
1000,102,GS_PRE_CON,21,3.646100000e-02,1.736238095e-03
1000,102,PCG,1,6.975300000e-02,6.975300000e-02
1000,123,GRID_C_R,9,5.255000000e-03,5.838888889e-04
1000,123,FILL_FUNC,2,6.599000000e-03,3.299500000e-03
1000,123,RAND,2,2.213000000e-03,1.106500000e-03
1000,123,AXPBY,128,1.723400000e-02,1.346406250e-04
1000,123,DOT_PRODUCT,109,9.951000000e-03,9.129357798e-05
1000,123,APPLY_STENCIL,45,6.642000000e-03,1.476000000e-04
1000,123,GRID,2,1.254000000e-03,6.270000000e-04
1000,123,CG,1,1.514600000e-02,1.514600000e-02
1000,123,GS_PRE_CON,21,2.347800000e-02,1.118000000e-03
1000,123,PCG,1,3.844200000e-02,3.844200000e-02
1000,147,GRID_C_R,9,6.318000000e-03,7.020000000e-04
1000,147,FILL_FUNC,2,7.850000000e-03,3.925000000e-03
1000,147,RAND,2,1.965900000e-02,9.829500000e-03
1000,147,AXPBY,128,3.004600000e-02,2.347343750e-04
1000,147,DOT_PRODUCT,109,2.115700000e-02,1.941009174e-04
1000,147,APPLY_STENCIL,45,2.561100000e-02,5.691333333e-04
1000,147,GRID,2,1.573000000e-03,7.865000000e-04
1000,147,CG,1,3.588700000e-02,3.588700000e-02
1000,147,GS_PRE_CON,21,6.258500000e-02,2.980238095e-03
1000,147,PCG,1,9.880500000e-02,9.880500000e-02
1000,177,GRID_C_R,9,7.606000000e-03,8.451111111e-04
1000,177,FILL_FUNC,2,9.434000000e-03,4.717000000e-03
1000,177,RAND,2,3.177000000e-03,1.588500000e-03
1000,177,AXPBY,128,2.556700000e-02,1.997421875e-04
1000,177,DOT_PRODUCT,109,1.531200000e-02,1.404770642e-04
1000,177,APPLY_STENCIL,45,1.020400000e-02,2.267555556e-04
1000,177,GRID,2,1.810000000e-03,9.050000000e-04
1000,177,CG,1,2.199100000e-02,2.199100000e-02
1000,177,GS_PRE_CON,21,3.376100000e-02,1.607666667e-03
1000,177,PCG,1,5.728100000e-02,5.728100000e-02
1000,212,GRID_C_R,9,8.892000000e-03,9.880000000e-04
1000,212,FILL_FUNC,2,1.124400000e-02,5.622000000e-03
1000,212,RAND,2,3.797000000e-03,1.898500000e-03
1000,212,AXPBY,128,2.914500000e-02,2.276953125e-04
1000,212,DOT_PRODUCT,109,1.805800000e-02,1.656697248e-04
1000,212,APPLY_STENCIL,45,1.149700000e-02,2.554888889e-04
1000,212,GRID,2,2.115000000e-03,1.057500000e-03
1000,212,CG,1,2.705900000e-02,2.705900000e-02
1000,212,GS_PRE_CON,21,4.036500000e-02,1.922142857e-03
1000,212,PCG,1,6.538600000e-02,6.538600000e-02
1000,255,GRID_C_R,9,1.068500000e-02,1.187222222e-03
1000,255,FILL_FUNC,2,1.364100000e-02,6.820500000e-03
1000,255,RAND,2,4.588000000e-03,2.294000000e-03
